ProblemName,Time_alns_e,Time_alns_g,Time_alns_u,Time_no-alns,PInt_alns_e,PInt_alns_g,PInt_alns_u,PInt_no-alns,Status_alns_e,Status_alns_g,Status_alns_u,Status_no-alns,LP_Iterations_dualLP_alns_e,LP_Iterations_dualLP_alns_g,LP_Iterations_dualLP_alns_u,LP_Iterations_dualLP_no-alns,TimeQ+10_alns_e,TimeQ+10_alns_g,TimeQ+10_alns_u,TimeQ+10_no-alns,PIntQ+1000_alns_e,PIntQ+1000_alns_g,PIntQ+1000_alns_u,PIntQ+1000_no-alns
mine-166-5,83.52,84.72,83.69,82.68,4150.2674297701005,4192.232828896913,4141.636051039198,4093.0899896675005,ok,ok,ok,ok,17900.0,17900.0,17900.0,17900.0,1.0090634441087611,1.0220112214069916,1.010897712559344,1.0,1.0112264735589982,1.0194661471583157,1.0095317501693832,1.0
mine-90-10,433.62,465.42,503.42,510.33,2854.911406868583,2778.889130552278,2856.14092032541,2845.606752569986,ok,ok,ok,ok,615738.0,585280.0,682999.0,682999.0,0.8525743278304154,0.9136893894259414,0.9867199661753121,1.0,1.0024195542855179,0.9826509504714384,1.0027392732625051,1.0
msc98-ip,787.06,901.16,2873.38,726.25,7719.633322533699,8033.129556251682,21396.56435772818,10393.6654512105,ok,ok,ok,ok,1036561.0,1183624.0,4733398.0,935149.0,1.0825942275042444,1.2375687606112054,3.9163056027164687,1.0,0.7653053672562676,0.7928203259024051,1.9657031754735872,1.0
mspp16,710.98,712.09,711.15,701.42,28600.0,28500.0,28800.0,28400.0,ok,ok,ok,ok,2135.0,2135.0,2135.0,2135.0,1.0134379129065814,1.0149981726687471,1.0136768716088949,1.0,1.0068027210884354,1.0034013605442176,1.0136054421768708,1.0
mzzv11,191.05,185.74,183.39,179.5,7482.728612211068,7434.427663689105,7349.033060134451,7215.951745096233,ok,ok,ok,ok,50787.0,50787.0,50787.0,50787.0,1.0609498680738787,1.0329287598944592,1.0205277044854881,1.0,1.0324705980988826,1.026591674996542,1.016197918289582,1.0
n3div36,7152.7,7139.94,7063.53,7157.75,5565.630911774017,5567.543938780392,5569.370972426079,5572.764938142926,ok,ok,ok,ok,4733700.0,4733700.0,4733700.0,4733700.0,0.9992954553381466,0.9975152593212653,0.9868550102891424,1.0,0.9989146080171665,0.9992056616337767,0.9994836319648142,1.0
n3seq24,7200.0,7200.0,7200.0,7200.0,42413.07872531685,41926.724414900826,41151.79663420624,41987.88264126907,timelimit,timelimit,timelimit,timelimit,4060705.0,4153334.0,4290094.0,4191881.0,1.0,1.0,1.0,1.0,1.009891068317926,0.998577314754518,0.980550658564882,1.0
n4-3,116.46,134.89,128.73,135.1,590.989458998897,635.0277909121019,670.9327271887303,657.588801693728,ok,ok,ok,ok,314185.0,360800.0,335028.0,360800.0,0.8715368711233632,0.99855272226051,0.9560992419021365,1.0,0.9598215536767747,0.9863892596531944,1.0080502024877145,1.0
neos-1109824,17.08,16.84,17.2,16.87,625.2545090291275,605.2545090291275,635.2545090291275,606.2446690204632,ok,ok,ok,ok,4175.0,4175.0,4175.0,4175.0,1.0078154075176775,0.9988835132117603,1.0122813546706364,1.0,1.0118349591287714,0.9993835559361328,1.0180606607250906,1.0
neos-1337307,7200.0,7200.0,7200.0,7200.0,7976.663486869745,7956.661806355311,7986.5910764683495,7966.607140209273,timelimit,timelimit,timelimit,timelimit,10605155.0,10642333.0,10620783.0,10628192.0,1.0,1.0,1.0,1.0,1.0011215330953194,0.998890847597263,1.0022287065716822,1.0
neos-1396125,78.02,78.42,77.53,78.07,1605.2695084857373,1582.400562367079,1577.2392774726457,1570.4307969801084,ok,ok,ok,ok,421959.0,421959.0,421959.0,421959.0,0.999432269785398,1.0039741115022143,0.9938685136822982,1.0,1.013553646939867,1.0046567156762336,1.0026487701985738,1.0
neos-1601936,1103.94,1113.6,1103.54,1092.03,107279.28542551042,108239.23590054578,107296.58884172226,106136.2947240752,ok,ok,ok,ok,2295494.0,2295494.0,2295494.0,2295494.0,1.010807328294148,1.0195729698828524,1.010444361768736,1.0,1.010668566655016,1.0196286532205228,1.0108300750985961,1.0
neos-476283,345.88,342.51,353.33,309.96,1567.1012673015523,1578.679198489988,1567.13813685176,1577.1254817746938,ok,ok,ok,ok,12878.0,12686.0,12878.0,12686.0,1.1122640330041256,1.1017314664333042,1.1355481935241905,1.0,0.9961103118400587,1.0006028874908428,0.9961246183030031,1.0
neos-686190,142.84,141.97,142.39,141.31,1769.8881543678544,1727.9798386217062,1764.369268139555,1723.3645242844993,ok,ok,ok,ok,143304.0,143304.0,143304.0,143304.0,1.0101116912299253,1.004361906020752,1.0071376643975942,1.0,1.0170831446427753,1.001694710456882,1.0150566490418056,1.0
neos-849702,90.08,89.51,89.84,89.37,9010.0,8950.0,8980.0,8940.0,ok,ok,ok,ok,571634.0,571634.0,571634.0,571634.0,1.007145013585589,1.0014088759182853,1.0047297977256717,1.0,1.0070422535211268,1.0010060362173039,1.0040241448692153,1.0
neos-916792,1259.52,1240.51,1229.46,1253.48,4911.648731717808,5031.685549469403,4992.222919451692,5137.065278432232,ok,ok,ok,ok,794814.0,801237.0,786562.0,801237.0,1.0047804476525153,0.9897347009845823,0.9809890144679774,1.0,0.9632696514559466,0.98282897049618,0.9763987586233496,1.0
neos-934278,139.9,139.61,138.97,139.1,4668.8419792398045,4678.369938300557,4667.343280244825,4667.006302014314,ok,ok,ok,ok,67116.0,67116.0,67116.0,67116.0,1.0053655264922872,1.0034205231388331,0.9991281019450033,1.0,1.0003239236252195,1.0020052273953186,1.0000594631825963,1.0
neos13,390.06,391.13,388.42,383.66,5681.91384072023,5733.236659621132,5729.616572331084,5592.661602433267,ok,ok,ok,ok,65697.0,65697.0,65697.0,65697.0,1.016257684296093,1.0189757658893461,1.0120916526952193,1.0,1.0135381191496347,1.021322959627714,1.0207738510114441,1.0
neos18,56.09,55.78,55.91,55.6,382.8861369109047,379.7282421740626,372.29790161678704,359.14000687994496,ok,ok,ok,ok,136471.0,136471.0,136471.0,136471.0,1.007469512195122,1.0027439024390246,1.0047256097560977,1.0,1.017471437755314,1.015147987102065,1.0096810443885376,1.0
net12,990.85,988.74,984.28,986.51,7754.4434747192645,7754.4434747192645,7754.4434747192645,7744.7151917146675,ok,ok,ok,ok,1507010.0,1507010.0,1507010.0,1507010.0,1.0043551996467672,1.002237809956749,0.997762190043251,1.0,1.0011124756828917,1.0011124756828917,1.0011124756828917,1.0
netdiversion,697.69,692.75,467.23,465.38,45149.61342063714,44710.127247972574,41898.14763088524,41798.15405071955,ok,ok,ok,ok,68861.0,68861.0,51482.0,51482.0,1.4886827380201104,1.4782910513694307,1.0038916235432707,1.0,1.0783085028841621,1.0680396914736574,1.0023363993701033,1.0
newdano,7200.0,7200.0,7200.0,7200.0,2696.374788484606,2651.5341435683167,2632.75480728443,2654.9185270554735,timelimit,timelimit,timelimit,timelimit,95377345.0,96546031.0,97225763.0,96684822.0,1.0,1.0,1.0,1.0,1.011342595224012,0.999074019444728,0.993935919608884,1.0
noswot,125.02,124.54,129.14,129.28,9.024390243902438,34.14634146341463,10.24390243902439,20.73170731707317,ok,ok,ok,ok,974991.0,939385.0,980158.0,980158.0,0.9694141298104536,0.965967834577829,0.998994830557151,1.0,0.9885304659498207,1.013142174432497,0.9897252090800478,1.0
ns1208400,364.07,365.7,363.77,360.6,36100.0,36300.0,36100.0,35700.0,ok,ok,ok,ok,1034741.0,1034741.0,1034741.0,1034741.0,1.009363194819212,1.013761467889908,1.0085536967080408,1.0,1.0108991825613078,1.0163487738419619,1.0108991825613078,1.0
ns1688347,149.94,151.67,151.52,148.43,3636.486123704209,3645.8010768267263,3654.821099073667,3589.7521335564256,ok,ok,ok,ok,527240.0,527240.0,527240.0,527240.0,1.0095310231648047,1.0204506722211701,1.0195038818405606,1.0,1.0101822470555881,1.012211758203786,1.0141770107892127,1.0
ns1758913,3267.24,3266.31,3265.57,3250.61,235016.2816002895,234945.9106763464,234845.91067992107,233825.17065512645,ok,ok,ok,ok,83421.0,83421.0,83421.0,83421.0,1.0051002726483693,1.0048150499446422,1.0045880985459776,1.0,1.0050723307975888,1.004772657113772,1.0043468084019567,1.0
ns1766074,589.28,586.95,584.56,585.91,58928.0,58695.00000000001,58455.99999999999,58591.0,ok,ok,ok,ok,3355133.0,3355133.0,3355133.0,3355133.0,1.005655216391737,1.0017452299843936,0.9977345572317967,1.0,1.005655216391737,1.0017452299843936,0.9977345572317966,1.0
ns1830653,217.86,219.15,218.63,218.76,4535.9390423197665,4544.890947432488,4568.373472554429,4545.724372600482,ok,ok,ok,ok,1042847.0,1042847.0,1042847.0,1042847.0,0.9960657457597483,1.0017048435041092,0.9994317188319637,1.0,0.998235518099482,0.9998497175279552,1.0040840652063143,1.0
