Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neos-876808,7200.0,7200.0,7200.0,7200.0,1676.0,1583.0,2072.0,1395.0,322179.08061936375,356148.1300760687,281594.74386056425,359589.4822566656,timelimit,timelimit,timelimit,timelimit,3781897.0,3253093.0,5248085.0,3469676.0,1.2014336917562725,1.1347670250896058,1.4853046594982078,1.0,1.0,1.0,1.0,1.0,0.8962520997473983,0.9904563156998923,0.783702126007699,1.0
neos-930752,7200.0,7200.0,7200.0,7200.0,377287.0,377680.0,236038.0,380434.0,7583.681412476223,7665.474125737697,5332.371848022241,7560.425303614105,timelimit,timelimit,timelimit,timelimit,20777465.0,20800539.0,18758509.0,20927238.0,0.9917278686973299,0.9927608993938501,0.6204440191991252,1.0,1.0,1.0,1.0,1.0,1.0027167001681914,1.0122714489523368,0.7397263130546553,1.0
neos-931517,7200.0,7200.0,7200.0,7200.0,3953.0,4821.0,4585.0,3977.0,50250.937716109765,57410.399112148574,57152.20419142759,63640.067491835485,timelimit,timelimit,timelimit,timelimit,7662092.0,7008051.0,6641944.0,7405787.0,0.993965300477747,1.2122202665325623,1.1528790545637415,1.0,1.0,1.0,1.0,1.0,0.7928664016723549,0.903625280396346,0.8996309324518054,1.0
neos-933562,7200.0,7200.0,7200.0,7200.0,122101.0,120904.0,122981.0,121723.0,999.2857142857143,1007.5000000000001,986.0714285714286,998.9285714285714,timelimit,timelimit,timelimit,timelimit,57988250.0,57550287.0,58283640.0,57837798.0,1.0031054114670195,0.9932716084881247,1.0103349408082285,1.0,1.0,1.0,1.0,1.0,1.0001786671431123,1.004288011434697,0.9935679828479541,1.0
neos-933815,7200.0,7200.0,7200.0,7200.0,2775226.0,2853140.0,3178897.0,2906844.0,64.67567174238268,65.05132230539462,74.32902078557412,74.28575321084926,timelimit,timelimit,timelimit,timelimit,13327562.0,16290126.0,12681696.0,16577408.0,0.9547213403952878,0.981524980356703,1.0935905057168531,1.0,1.0,1.0,1.0,1.0,0.9910544457657159,0.9914041204792539,1.0000402756665028,1.0
neos-934441,7200.0,7200.0,7200.0,7200.0,13358.0,12495.0,12497.0,12501.0,4744.241750517338,4875.936439119561,4889.644494156471,4876.343867443911,timelimit,timelimit,timelimit,timelimit,9269122.0,9256585.0,9258085.0,9268622.0,1.0685545156387488,0.9995200383969283,0.9996800255979522,1.0,1.0,1.0,1.0,1.0,0.9775196755148308,0.9999306663575958,1.0022634187196309,1.0
neos-935234,7200.0,7200.0,7200.0,7200.0,6242.0,7968.0,8830.0,7660.0,5284.053779062361,6189.305252058235,6069.926848909343,6247.65478990278,timelimit,timelimit,timelimit,timelimit,6724481.0,6730502.0,7403571.0,7334350.0,0.8148825065274151,1.0402088772845952,1.1527415143603132,1.0,1.0,1.0,1.0,1.0,0.8670465083156444,0.991949183627532,0.9754778688906317,1.0
neos-935348,7200.0,7200.0,7200.0,7200.0,15217.0,13773.0,14236.0,14236.0,6550.687732968178,8007.024401957593,8184.727058278482,8185.294052038675,timelimit,timelimit,timelimit,timelimit,9226018.0,8189828.0,7890191.0,7890191.0,1.0689098061253162,0.9674768193312728,1.0,1.0,1.0,1.0,1.0,1.0,0.8220409374147695,0.9805918407106939,0.9999382715722567,1.0
neos-935496,7200.0,7200.0,7200.0,7200.0,923032.0,942773.0,942936.0,672475.0,3030.208080808081,3004.620202020202,2913.430303030303,4746.4,timelimit,timelimit,timelimit,timelimit,59404045.0,60680202.0,60687950.0,60952006.0,1.37258931558794,1.401945053719469,1.4021874419123388,1.0,1.0,1.0,1.0,1.0,0.7013448560504109,0.696892002300606,0.681022954028662,1.0
neos-935674,7200.0,7200.0,7200.0,7200.0,737143.0,734783.0,733085.0,738495.0,3306.8723690103,3415.499353137284,3706.639946260636,3283.02604866398,timelimit,timelimit,timelimit,timelimit,40539586.0,40399270.0,40312686.0,40619601.0,0.9981692496225432,0.9949735610938463,0.992674290279555,1.0,1.0,1.0,1.0,1.0,1.0055676337419797,1.0309298386160006,1.098905281635818,1.0
