Group,Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
MIPLIB2010,alns_u,0.0,87,0.0,0.0,6.0,0.0,81.0,6.0,0.0,323.5769854989283,6279.521803127144,21097.422792474586,0.9831445781696737,0.9763712493171265,0.7450727575874918,0.8741368860421352,0.23222559205012872
MIPLIB2010,no-alns,0.0,87,0.0,0.0,7.0,0.0,80.0,7.0,0.0,329.1245180859702,6431.489873876395,28315.922945279843,1.0,1.0,1.0,,
manycalls,alns_e,0.0,21,0.0,0.0,2.0,0.0,19.0,2.0,0.0,2044.4365662879613,295899.8166268542,5033.091662824971,0.8472742759222951,0.8349545836101937,0.6797362416788482,0.1771140408635976,0.10894087157711467
manycalls,alns_g,0.0,21,0.0,0.0,3.0,0.0,18.0,3.0,0.0,2006.449627476907,294496.4086814719,5645.767293181158,0.8315313780469754,0.8309945206739277,0.7624801808410419,0.11654426427752808,0.20433024733906624
manycalls,alns_u,0.0,21,0.0,0.0,2.0,0.0,19.0,2.0,0.0,2292.4413291210553,334224.21564287215,5160.3647131473945,0.9500546993013462,0.9430963627681134,0.6969249023845843,0.5067455281526702,0.34652171170610724
manycalls,no-alns,0.0,21,0.0,0.0,2.0,0.0,19.0,2.0,0.0,2412.957202155704,354390.3134796105,7404.477434355975,1.0,1.0,1.0,,
fewcalls,alns_e,0.0,89,0.0,1.0,0.0,1.0,88.0,0.0,0.0,71.65132036610215,837.2845733822749,11520.257480221524,0.8950655746703092,0.8851828793514417,0.6480105048817361,0.0880246077727341,0.09218926643907936
fewcalls,alns_g,0.0,89,0.0,0.0,2.0,0.0,87.0,2.0,0.0,72.50732795383612,810.8549205630586,13843.679639878861,0.9057587889686982,0.8572412727262694,0.7787021989968933,0.6220605742189638,0.06586876918987035
fewcalls,alns_u,0.0,89,0.0,0.0,1.0,0.0,88.0,1.0,0.0,70.45045786525962,822.4861744971003,11199.8049609347,0.8800644458854564,0.8695379125726386,0.62998516133623,0.07726530694399611,0.03792231739285174
fewcalls,no-alns,0.0,89,0.0,0.0,2.0,0.0,87.0,2.0,0.0,80.05147599659878,945.8888020922172,17777.886922256002,1.0,1.0,1.0,,
